bruises,odor,gill-spacing,gill-size,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,ring-type,spore-print-color,population
f,f,c,b,b,k,k,l,h,y
t,n,c,b,c,s,s,e,w,c
f,n,w,b,b,k,s,p,w,s
f,s,c,n,e,k,k,e,w,v
f,f,c,n,b,s,k,e,w,v
t,n,c,b,b,s,s,p,n,v
t,l,c,b,r,s,y,p,n,y
t,f,c,b,b,s,s,p,h,s
t,n,c,b,b,s,s,p,n,v
t,n,c,b,b,s,s,p,k,v
f,n,w,n,b,s,s,e,w,v
f,y,c,n,e,s,k,e,w,v
f,n,w,b,b,k,k,p,w,n
t,f,c,b,b,f,f,p,h,v
f,n,w,b,e,f,f,e,k,s
t,a,w,n,b,s,s,p,n,v
t,n,c,b,c,s,s,e,w,c
t,n,c,b,b,s,s,p,k,v
f,f,c,b,b,k,k,l,h,v
f,s,c,n,e,k,k,e,w,v
f,f,c,b,b,k,k,l,h,y
t,n,c,b,b,s,s,p,k,v
f,c,c,n,b,s,s,p,k,v
t,n,c,b,b,s,s,p,n,v
f,f,c,b,b,k,k,l,h,y
f,f,c,b,b,k,k,l,h,v
f,s,c,n,e,k,s,e,w,v
t,n,c,b,b,s,s,p,n,y
f,y,c,n,e,k,s,e,w,v
f,n,w,b,b,s,s,p,w,n
f,f,c,n,c,k,s,e,w,v
f,n,c,b,b,s,s,p,o,v
f,f,c,b,b,k,k,l,h,y
f,n,w,b,c,s,s,p,w,n
f,f,c,b,b,k,k,l,h,v
t,n,c,b,b,s,s,p,k,y
f,n,c,b,b,s,s,p,o,v
f,f,c,b,b,k,k,l,h,y
t,f,c,b,b,s,f,p,h,v
f,f,c,b,b,k,k,l,h,v
f,f,c,b,b,k,k,l,h,v
t,n,c,b,b,s,s,p,n,y
t,a,w,n,b,s,s,p,u,v
f,n,c,b,e,s,s,p,o,c
t,n,c,b,b,s,s,p,r,v
f,f,c,b,b,k,k,l,h,y
t,n,c,b,b,s,s,p,k,y
t,f,c,b,b,f,f,p,h,s
t,l,c,b,c,s,s,p,k,s
f,f,c,b,b,k,k,l,h,v
t,n,c,b,b,s,s,p,n,y
f,f,c,b,b,k,k,l,h,y
f,f,c,b,b,k,k,l,h,y
f,n,w,b,e,f,f,e,k,s
t,n,c,b,b,s,s,p,k,y
t,n,c,b,b,s,s,p,k,v
t,l,c,b,r,s,y,p,k,y
f,n,w,b,b,k,k,p,w,s
t,n,c,b,b,s,s,p,n,y
f,n,c,b,b,s,s,p,y,c
t,f,c,b,b,s,s,p,h,s
f,y,c,n,e,s,k,e,w,v
f,n,w,b,e,s,s,e,k,a
t,n,c,b,b,s,s,p,n,v
t,n,c,b,b,s,s,p,n,v
t,a,w,n,b,s,s,p,n,v
t,a,c,b,c,s,s,p,k,n
f,f,c,b,b,k,k,l,h,v
t,n,c,b,b,s,s,p,n,v
t,a,c,b,c,s,s,p,k,n
t,n,c,b,b,s,s,p,n,y
f,y,c,n,b,s,s,e,w,v
f,f,c,b,b,k,k,l,h,y
f,s,c,n,e,k,k,e,w,v
