odor,gill-size,gill-color,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-type,spore-print-color,population
f,b,g,k,k,p,b,l,h,y
n,b,e,s,s,e,w,e,w,c
n,b,w,k,s,w,w,p,w,s
s,n,b,k,k,p,w,e,w,v
f,n,b,s,k,p,p,e,w,v
n,b,w,s,s,w,p,p,n,v
l,b,w,s,y,w,w,p,n,y
f,b,p,s,s,w,w,p,h,s
n,b,w,s,s,p,w,p,n,v
n,b,w,s,s,w,w,p,k,v
n,n,w,s,s,w,n,e,w,v
y,n,b,s,k,w,p,e,w,v
n,b,p,k,k,w,w,p,w,n
f,b,h,f,f,w,w,p,h,v
n,b,h,f,f,w,w,e,k,s
a,n,w,s,s,w,w,p,n,v
n,b,e,s,s,w,w,e,w,c
n,b,n,s,s,g,w,p,k,v
f,b,p,k,k,n,b,l,h,v
s,n,b,k,k,w,w,e,w,v
f,b,p,k,k,b,b,l,h,y
n,b,w,s,s,w,w,p,k,v
c,n,g,s,s,w,w,p,k,v
n,b,n,s,s,p,p,p,n,v
f,b,p,k,k,b,b,l,h,y
f,b,h,k,k,n,b,l,h,v
s,n,b,k,s,p,w,e,w,v
n,b,w,s,s,g,p,p,n,y
y,n,b,k,s,p,w,e,w,v
n,b,p,s,s,w,w,p,w,n
f,n,b,k,s,w,w,e,w,v
n,b,n,s,s,o,o,p,o,v
f,b,h,k,k,n,b,l,h,y
n,b,p,s,s,w,w,p,w,n
f,b,p,k,k,n,n,l,h,v
n,b,p,s,s,p,w,p,k,y
n,b,y,s,s,o,o,p,o,v
f,b,h,k,k,n,b,l,h,y
f,b,w,s,f,w,w,p,h,v
f,b,p,k,k,n,b,l,h,v
f,b,g,k,k,n,b,l,h,v
n,b,w,s,s,g,g,p,n,y
a,n,n,s,s,w,w,p,u,v
n,b,y,s,s,o,o,p,o,c
n,b,r,s,s,w,w,p,r,v
f,b,h,k,k,n,b,l,h,y
n,b,u,s,s,p,w,p,k,y
f,b,h,f,f,w,w,p,h,s
l,b,n,s,s,w,w,p,k,s
f,b,p,k,k,p,b,l,h,v
n,b,w,s,s,p,w,p,n,y
f,b,p,k,k,b,p,l,h,y
f,b,g,k,k,n,p,l,h,y
n,b,p,f,f,w,w,e,k,s
n,b,w,s,s,g,p,p,k,y
n,b,p,s,s,p,w,p,k,v
l,b,n,s,y,w,w,p,k,y
n,b,p,k,k,w,w,p,w,s
n,b,n,s,s,g,w,p,n,y
n,b,n,s,s,o,o,p,y,c
f,b,w,s,s,w,w,p,h,s
y,n,b,s,k,p,p,e,w,v
n,b,n,s,s,w,w,e,k,a
n,b,n,s,s,p,w,p,n,v
n,b,u,s,s,p,w,p,n,v
a,n,p,s,s,w,w,p,n,v
a,b,n,s,s,w,w,p,k,n
f,b,p,k,k,p,b,l,h,v
n,b,p,s,s,p,g,p,n,v
a,b,n,s,s,w,w,p,k,n
n,b,n,s,s,p,w,p,n,y
y,n,b,s,s,w,p,e,w,v
f,b,p,k,k,p,n,l,h,y
s,n,b,k,k,p,p,e,w,v
f,n,b,s,k,w,p,e,w,v
s,n,b,k,s,p,p,e,w,v
